years	months	days	hours	minutes	seconds	Q
2009	8	16	3	7	0	NaN
2009	8	16	3	8	0	NaN
2009	8	16	3	9	0	NaN
2009	8	16	3	10	0	NaN
2009	8	16	3	11	0	NaN
2009	8	16	3	12	0	NaN
2009	8	16	3	13	0	NaN
2009	8	16	3	14	0	NaN
2009	8	16	3	15	0	NaN
2009	8	16	3	16	0	NaN
2009	8	16	3	17	0	NaN
2009	8	16	3	18	0	NaN
2009	8	16	3	19	0	NaN
2009	8	16	3	20	0	NaN
2009	8	16	3	21	0	NaN
2009	8	16	3	22	0	NaN
2009	8	16	3	23	0	NaN
2009	8	16	3	24	0	NaN
2009	8	16	3	25	0	NaN
2009	8	16	3	26	0	NaN
2009	8	16	3	27	0	NaN
2009	8	16	3	28	0	NaN
2009	8	16	3	29	0	NaN
2009	8	16	3	30	0	NaN
2009	8	16	3	31	0	NaN
2009	8	16	3	32	0	NaN
2009	8	16	3	33	0	NaN
2009	8	16	3	34	0	NaN
2009	8	16	3	35	0	NaN
2009	8	16	3	36	0	NaN
2009	8	16	3	37	0	NaN
2009	8	16	3	38	0	NaN
2009	8	16	3	39	0	NaN
2009	8	16	3	40	0	NaN
2009	8	16	3	41	0	NaN
2009	8	16	3	42	0	NaN
2009	8	16	3	43	0	NaN
2009	8	16	3	44	0	NaN
2009	8	16	3	45	0	NaN
2009	8	16	3	46	0	NaN
2009	8	16	3	47	0	NaN
2009	8	16	3	48	0	NaN
2009	8	16	3	49	0	NaN
2009	8	16	3	50	0	NaN
2009	8	16	3	51	0	NaN
2009	8	16	3	52	0	NaN
2009	8	16	3	53	0	NaN
2009	8	16	3	54	0	NaN
2009	8	16	3	55	0	NaN
2009	8	16	3	56	0	NaN
2009	8	16	3	57	0	NaN
2009	8	16	3	58	0	NaN
2009	8	16	3	59	0	NaN
2009	8	16	4	0	0	NaN
2009	8	16	4	1	0	NaN
2009	8	16	4	2	0	NaN
2009	8	16	4	3	0	NaN
2009	8	16	4	4	0	NaN
2009	8	16	4	5	0	NaN
2009	8	16	4	6	0	NaN
2009	8	16	4	7	0	NaN
2009	8	16	4	8	0	NaN
2009	8	16	4	9	0	NaN
2009	8	16	4	10	0	NaN
2009	8	16	4	11	0	NaN
2009	8	16	4	12	0	NaN
2009	8	16	4	13	0	NaN
2009	8	16	4	14	0	NaN
2009	8	16	4	15	0	NaN
2009	8	16	4	16	0	NaN
2009	8	16	4	17	0	NaN
2009	8	16	4	18	0	NaN
2009	8	16	4	19	0	NaN
2009	8	16	4	20	0	NaN
2009	8	16	4	21	0	NaN
2009	8	16	4	22	0	NaN
2009	8	16	4	23	0	NaN
2009	8	16	4	24	0	NaN
2009	8	16	4	25	0	NaN
2009	8	16	4	26	0	NaN
2009	8	16	4	27	0	NaN
2009	8	16	4	28	0	NaN
2009	8	16	4	29	0	NaN
2009	8	16	4	30	0	NaN
2009	8	16	4	31	0	NaN
2009	8	16	4	32	0	NaN
2009	8	16	4	33	0	NaN
2009	8	16	4	34	0	NaN
2009	8	16	4	35	0	NaN
2009	8	16	4	36	0	NaN
2009	8	16	4	37	0	NaN
2009	8	16	4	38	0	NaN
2009	8	16	4	39	0	NaN
2009	8	16	4	40	0	NaN
2009	8	16	4	41	0	NaN
