years	months	days	hours	minutes	seconds	Q	u_Q
2009	6	23	12	2	0	11607.07	842.673282
2009	6	23	12	4	0	11614.79	843.233754
2009	6	23	12	6	0	11624.54	843.941604
2009	6	23	12	8	0	11636.21	844.788846
2009	6	23	12	10	0	11649.81	845.776206
2009	6	23	12	12	0	11665.37	846.905862
2009	6	23	12	14	0	11682.93	848.180718
2009	6	23	12	16	0	11702.56	849.605856
2009	6	23	12	18	0	11724.28	851.182728
2009	6	23	12	20	0	11748.01	852.905526
2009	6	23	12	22	0	11773.65	854.76699
2009	6	23	12	24	0	11801.1	856.75986
2009	6	23	12	26	0	11830.33	858.881958
2009	6	23	12	28	0	11861.15	861.11949
2009	6	23	12	30	0	11893.56	863.472456
2009	6	23	12	32	0	11927.56	865.940856
2009	6	23	12	34	0	11963.12	868.522512
2009	6	23	12	36	0	12000.2	871.21452
2009	6	23	12	38	0	12038.76	874.013976
2009	6	23	12	40	0	12078.68	876.912168
2009	6	23	12	42	0	12119.83	879.899658
2009	6	23	12	44	0	12162.05	882.96483
2009	6	23	12	46	0	12205.18	886.096068
2009	6	23	12	48	0	12249.07	889.282482
2009	6	23	12	50	0	12293.51	892.508826
2009	6	23	12	52	0	12338.35	895.76421
2009	6	23	12	54	0	12383.5	899.0421
2009	6	23	12	56	0	12428.86	902.335236
2009	6	23	12	58	0	12474.28	905.632728
2009	6	23	13	0	0	12519.64	908.925864
2009	6	23	13	2	0	12564.9	912.21174
2009	6	23	13	4	0	12609.95	915.48237
2009	6	23	13	6	0	12654.77	918.736302
2009	6	23	13	8	0	12699.35	921.97281
2009	6	23	13	10	0	12743.74	925.195524
2009	6	23	13	12	0	12787.96	928.405896
2009	6	23	13	14	0	12831.97	931.601022
2009	6	23	13	16	0	12875.69	934.775094
2009	6	23	13	18	0	12918.99	937.918674
2009	6	23	13	20	0	12961.84	941.029584
2009	6	23	13	22	0	13004.19	944.104194
2009	6	23	13	24	0	13046.02	947.141052
2009	6	23	13	26	0	13054.15	947.73129
2009	6	23	13	28	0	13095.04	950.699904
2009	6	23	13	30	0	13135.31	953.623506
2009	6	23	13	32	0	13174.89	956.497014
2009	6	23	13	34	0	13213.66	959.311716
2009	6	23	13	36	0	13251.34	962.047284
2009	6	23	13	38	0	13287.77	964.692102
2009	6	23	13	40	0	13322.97	967.247622
2009	6	23	13	42	0	13356.86	969.708036
