years	months	days	hours	minutes	seconds	Q	u_Q
2009	6	15	13	20	0	31463.51	1488.224023
2009	6	15	13	22	0	32237.375	1524.8278375
2009	6	15	13	24	0	32982.025	1560.0497825
2009	6	15	13	26	0	33680.15	1593.071095
2009	6	15	13	28	0	34365.335	1625.4803455
2009	6	15	13	30	0	35020.58	1656.473434
2009	6	15	13	32	0	35646.405	1686.0749565
2009	6	15	13	34	0	36243.57	1714.320861
2009	6	15	13	36	0	36813.94	1741.299362
2009	6	15	13	38	0	37351.885	1766.7441605
2009	6	15	13	40	0	37872.52	1791.370196
2009	6	15	13	42	0	38367.86	1814.799778
2009	6	15	13	44	0	38838.605	1837.0660165
2009	6	15	13	46	0	39284.875	1858.1745875
2009	6	15	13	48	0	39707.19	1878.150087
2009	6	15	13	50	0	40106.605	1897.0424165
2009	6	15	13	52	0	40484.875	1914.9345875
2009	6	15	13	54	0	40844.75	1931.956675
2009	6	15	13	56	0	41182.11	1947.913803
2009	6	15	13	58	0	41500.075	1962.9535475
2009	6	15	14	0	0	41795.995	1976.9505635
2009	6	15	14	2	0	42072.12	1990.011276
2009	6	15	14	4	0	42330.43	2002.229339
2009	6	15	14	6	0	42572.65	2013.686345
2009	6	15	14	8	0	42800.085	2024.4440205
2009	6	15	14	10	0	43013.33	2034.530509
2009	6	15	14	12	0	43212.615	2043.9566895
2009	6	15	14	14	0	43397.915	2052.7213795
2009	6	15	14	16	0	43585.075	2061.5740475
2009	6	15	14	18	0	43741.62	2068.978626
2009	6	15	14	20	0	43883.955	2075.7110715
2009	6	15	14	22	0	44012.09	2081.771857
2009	6	15	14	24	0	44126.475	2087.1822675
2009	6	15	14	26	0	44227.66	2091.968318
2009	6	15	14	28	0	44316.8	2096.18464
2009	6	15	14	30	0	44395.355	2099.9002915
2009	6	15	14	32	0	44465.165	2103.2023045
2009	6	15	14	34	0	44527.79	2106.164467
2009	6	15	14	36	0	44583.455	2108.7974215
2009	6	15	14	38	0	44598.07	2109.488711
2009	6	15	14	40	0	44639.82	2111.463486
2009	6	15	14	42	0	44675.535	2113.1528055
2009	6	15	14	44	0	44706.295	2114.6077535
2009	6	15	14	46	0	44732.81	2115.861913
2009	6	15	14	48	0	44755.5	2116.93515
2009	6	15	14	50	0	44774.515	2117.8345595
2009	6	15	14	52	0	44789.885	2118.5615605
2009	6	15	14	54	0	44801.425	2119.1074025
2009	6	15	14	56	0	44815.61	2119.778353
2009	6	15	14	58	0	44819.15	2119.945795
2009	6	15	15	0	0	44819.93	2119.982689
2009	6	15	15	2	0	44817.06	2119.846938
2009	6	15	15	4	0	44810.625	2119.5425625
2009	6	15	15	6	0	44800.69	2119.072637
2009	6	15	15	8	0	44787.32	2118.440236
2009	6	15	15	10	0	44770.585	2117.6486705
2009	6	15	15	12	0	44750.555	2116.7012515
2009	6	15	15	14	0	44727.29	2115.600817
2009	6	15	15	16	0	44700.855	2114.3504415
2009	6	15	15	18	0	44671.315	2112.9531995
