years	months	days	hours	minutes	seconds	Q	u_Q
2009	6	25	14	4	0	34672.99	794.011471
2009	6	25	14	6	0	34630.2	793.03158
2009	6	25	14	8	0	34586.87	792.039323
2009	6	25	14	10	0	34543.69	791.050501
2009	6	25	14	12	0	34499.16	790.030764
2009	6	25	14	14	0	34454.17	789.000493
2009	6	25	14	16	0	34408.75	787.960375
2009	6	25	14	18	0	34362.96	786.911784
2009	6	25	14	20	0	34405.35	787.882515
2009	6	25	14	22	0	34361.96	786.888884
2009	6	25	14	24	0	34319.4	785.91426
2009	6	25	14	26	0	34276.02	784.920858
2009	6	25	14	28	0	34233.03	783.936387
2009	6	25	14	30	0	34190.41	782.960389
2009	6	25	14	32	0	34147.98	781.988742
2009	6	25	14	34	0	34109.07	781.097703
2009	6	25	14	36	0	34066.03	780.112087
2009	6	25	14	38	0	34022.58	779.117082
2009	6	25	14	40	0	33978.64	778.110856
2009	6	25	14	42	0	33934.19	777.092951
2009	6	25	14	44	0	33889.22	776.063138
2009	6	25	14	46	0	33843.73	775.021417
2009	6	25	14	48	0	33797.73	773.968017
2009	6	25	14	50	0	33751.25	772.903625
2009	6	25	14	52	0	33704.32	771.828928
2009	6	25	14	54	0	33656.97	770.744613
2009	6	25	14	56	0	33609.25	769.651825
2009	6	25	14	58	0	33561.2	768.55148
2009	6	25	15	0	0	33517.17	767.543193
2009	6	25	15	2	0	33468.15	766.420635
2009	6	25	15	4	0	33418.85	765.291665
2009	6	25	15	6	0	33369.26	764.156054
2009	6	25	15	8	0	33319.44	763.015176
2009	6	25	15	10	0	33269.38	761.868802
2009	6	25	15	12	0	33219.11	760.717619
2009	6	25	15	14	0	33168.65	759.562085
2009	6	25	15	16	0	33118.03	758.402887
2009	6	25	15	18	0	33067.24	757.239796
2009	6	25	15	20	0	33016.31	756.073499
2009	6	25	15	22	0	32965.27	754.904683
2009	6	25	15	24	0	32914.12	753.733348
2009	6	25	15	26	0	32862.86	752.559494
2009	6	25	15	28	0	32811.53	751.384037
2009	6	25	15	30	0	32762.99	750.272471
2009	6	25	15	32	0	32711.11	749.084419
2009	6	25	15	34	0	32659.09	747.893161
2009	6	25	15	36	0	32606.94	746.698926
2009	6	25	15	38	0	32554.7	745.50263
2009	6	25	15	40	0	32502.3	744.30267
2009	6	25	15	42	0	32449.7	743.09813
2009	6	25	15	44	0	32396.85	741.887865
2009	6	25	15	46	0	32343.72	740.671188
2009	6	25	15	48	0	32290.29	739.447641
2009	6	25	15	50	0	32236.55	738.216995
2009	6	25	15	52	0	32182.51	736.979479
2009	6	25	15	54	0	32129.26	735.760054
2009	6	25	15	56	0	32075	734.5175
2009	6	25	15	58	0	32021.2	733.28548
2009	6	25	16	0	0	31967.95	732.066055
2009	6	25	16	2	0	31915.2	730.85808
2009	6	25	16	4	0	31862.74	729.656746
2009	6	25	16	6	0	31810.46	728.459534
2009	6	25	16	8	0	31228.38	715.129902
2009	6	25	16	10	0	31799.92	728.218168
2009	6	25	16	12	0	31749.91	727.072939
2009	6	25	16	14	0	31696.5	725.84985
2009	6	25	16	16	0	31640.95	724.577755
2009	6	25	16	18	0	31579.29	723.165741
2009	6	25	16	20	0	31513.06	721.649074
2009	6	25	16	22	0	31442.03	720.022487
2009	6	25	16	24	0	31366.08	718.283232
2009	6	25	16	26	0	31285.14	716.429706
2009	6	25	16	28	0	31198.94	714.455726
2009	6	25	16	30	0	31107.04	712.351216
2009	6	25	16	32	0	31010.17	710.132893
2009	6	25	16	34	0	30904.84	707.720836
2009	6	25	16	36	0	30791.94	705.135426
2009	6	25	16	38	0	30670.81	702.361549
2009	6	25	16	40	0	30540.67	699.381343
2009	6	25	16	42	0	30400.64	696.174656
2009	6	25	16	44	0	30249.72	692.718588
2009	6	25	16	46	0	30086.88	688.989552
2009	6	25	16	48	0	29911.06	684.963274
2009	6	25	16	50	0	29721.22	680.615938
2009	6	25	16	52	0	29516.29	675.923041
2009	6	25	16	54	0	29294.06	670.833974
2009	6	25	16	56	0	29055.51	665.371179
2009	6	25	16	58	0	28798.67	659.489543
2009	6	25	17	0	0	28522.47	653.164563
2009	6	25	17	2	0	28225.79	646.370591
2009	6	25	17	4	0	27907.51	639.081979
2009	6	25	17	6	0	27564.9	631.23621
2009	6	25	17	8	0	27199.99	622.879771
2009	6	25	17	10	0	26809.36	613.934344
2009	6	25	17	12	0	26392.88	604.396952
2009	6	25	17	14	0	25948.57	594.222253
2009	6	25	17	16	0	25474.54	583.366966
2009	6	25	17	18	0	24968.73	571.783917
2009	6	25	17	20	0	24425.59	559.346011
2009	6	25	17	22	0	23851.75	546.205075
2009	6	25	17	24	0	23243.27	532.270883
2009	6	25	17	26	0	22600.29	517.546641
2009	6	25	17	28	0	21919.65	501.959985
2009	6	25	17	30	0	21202.84	485.545036
2009	6	25	17	32	0	20448.51	468.270879
2009	6	25	17	34	0	19660.89	450.234381
2009	6	25	17	36	0	18835.69	431.337301
2009	6	25	17	38	0	17968.7	411.48323
2009	6	25	17	40	0	17063.32	390.750028
2009	6	25	17	42	0	16113.22	368.992738
2009	6	25	17	44	0	15129.8	346.47242
2009	6	25	17	46	0	14109.55	323.108695
2009	6	25	17	48	0	13063.93	299.163997
2009	6	25	17	50	0	11864.74	271.702546
2009	6	25	17	52	0	10698.08	244.986032
2009	6	25	17	54	0	9519.98	218.007542
2009	6	25	17	56	0	8271.67	189.421243
2009	6	25	17	58	0	7131.11	163.302419
2009	6	25	18	0	0	6004.37	137.500073
2009	6	25	18	2	0	4752.36	108.829044
2009	6	25	18	4	0	3591.13	82.236877
2009	6	25	18	6	0	2386.13	54.642377
2009	6	25	18	8	0	1158.43	26.528047
2009	6	25	18	10	0	22.28	0.510212
2009	6	25	18	12	0	-1094.14	-25.055806
2009	6	25	18	14	0	-2191.09	-50.175961
2009	6	25	18	16	0	-3271.89	-74.926281
2009	6	25	18	18	0	-4342.38	-99.440502
2009	6	25	18	20	0	-5396.01	-123.568629
2009	6	25	18	22	0	-6424.12	-147.112348
2009	6	25	18	24	0	-7415.38	-169.812202
2009	6	25	18	26	0	-8380.77	-191.919633
2009	6	25	18	28	0	-9319.97	-213.427313
2009	6	25	18	30	0	-10230.72	-234.283488
2009	6	25	18	32	0	-11112.78	-254.482662
2009	6	25	18	34	0	-11966.27	-274.027583
2009	6	25	18	36	0	-12783.12	-292.733448
2009	6	25	18	38	0	-13581.69	-311.020701
2009	6	25	18	40	0	-14352.51	-328.672479
2009	6	25	18	42	0	-15097.04	-345.722216
2009	6	25	18	44	0	-15815.7	-362.17953
2009	6	25	18	46	0	-16508.77	-378.050833
2009	6	25	18	48	0	-17176.42	-393.340018
2009	6	25	18	50	0	-17818.98	-408.054642
2009	6	25	18	52	0	-18436.98	-422.206842
2009	6	25	18	54	0	-19031.21	-435.814709
2009	6	25	18	56	0	-19602.77	-448.903433
2009	6	25	18	58	0	-20152.91	-461.501639
2009	6	25	19	0	0	-20683	-473.6407
2009	6	25	19	2	0	-21194.58	-485.355882
2009	6	25	19	4	0	-21702.66	-496.990914
2009	6	25	19	6	0	-22190.34	-508.158786
2009	6	25	19	8	0	-22657.46	-518.855834
2009	6	25	19	10	0	-23113.47	-529.298463
