years	months	days	hours	minutes	seconds	Q	u_Q
2009	6	19	9	58	0	15282.33	268.969008
2009	6	19	10	0	0	15292.76	269.152576
2009	6	19	10	2	0	15302.67	269.326992
2009	6	19	10	4	0	15487.26	272.575776
2009	6	19	10	6	0	15496.13	272.731888
2009	6	19	10	8	0	15504.42	272.877792
2009	6	19	10	10	0	15512.12	273.013312
2009	6	19	10	12	0	15519.26	273.138976
2009	6	19	10	14	0	15525.87	273.255312
2009	6	19	10	16	0	15531.97	273.362672
2009	6	19	10	18	0	15537.6	273.46176
2009	6	19	10	20	0	15542.82	273.553632
2009	6	19	10	22	0	15547.68	273.639168
2009	6	19	10	24	0	15552.21	273.718896
2009	6	19	10	26	0	15556.47	273.793872
2009	6	19	10	28	0	15560.47	273.864272
2009	6	19	10	30	0	15564.15	273.92904
2009	6	19	10	32	0	15567.46	273.987296
2009	6	19	10	34	0	15570.37	274.038512
2009	6	19	10	36	0	15572.88	274.082688
2009	6	19	10	38	0	15574.99	274.119824
2009	6	19	10	40	0	15576.73	274.150448
2009	6	19	10	42	0	15578.12	274.174912
2009	6	19	10	44	0	15579.18	274.193568
2009	6	19	10	46	0	15579.97	274.207472
2009	6	19	10	48	0	15580.54	274.217504
2009	6	19	10	50	0	15580.92	274.224192
2009	6	19	10	52	0	15581.17	274.228592
2009	6	19	10	54	0	15581.35	274.23176
2009	6	19	10	56	0	15581.52	274.234752
2009	6	19	10	58	0	15601.94	274.594144
2009	6	19	11	0	0	15603.55	274.62248
2009	6	19	11	2	0	15605.29	274.653104
2009	6	19	11	4	0	15607.22	274.687072
2009	6	19	11	6	0	15609.41	274.725616
2009	6	19	11	8	0	15611.91	274.769616
2009	6	19	11	10	0	15614.78	274.820128
2009	6	19	11	12	0	15618.01	274.876976
2009	6	19	11	14	0	15621.55	274.93928
2009	6	19	11	16	0	15625.41	275.007216
2009	6	19	11	18	0	15629.57	275.080432
2009	6	19	11	20	0	15633.98	275.158048
2009	6	19	11	22	0	15638.61	275.239536
2009	6	19	11	24	0	15643.39	275.323664
2009	6	19	11	26	0	15648.17	275.407792
2009	6	19	11	28	0	15652.82	275.489632
2009	6	19	11	30	0	15657.24	275.567424
2009	6	19	11	32	0	15661.42	275.640992
2009	6	19	11	34	0	15665.36	275.710336
2009	6	19	11	36	0	15669.09	275.775984
2009	6	19	11	38	0	15672.66	275.838816
2009	6	19	11	40	0	15676.14	275.900064
2009	6	19	11	42	0	15679.59	275.960784
2009	6	19	11	44	0	15683.09	276.022384
2009	6	19	11	46	0	15686.67	276.085392
2009	6	19	11	48	0	15690.54	276.153504
2009	6	19	11	50	0	15695.08	276.233408
2009	6	19	11	52	0	15700	276.32
2009	6	19	11	54	0	15726.76	276.790976
2009	6	19	11	56	0	15732.2	276.88672
2009	6	19	11	58	0	15737.84	276.985984
2009	6	19	12	0	0	15743.67	277.088592
2009	6	19	12	2	0	15749.65	277.19384
2009	6	19	12	4	0	15755.77	277.301552
2009	6	19	12	6	0	15761.94	277.410144
2009	6	19	12	8	0	15768.12	277.518912
2009	6	19	12	10	0	15774.36	277.628736
2009	6	19	12	12	0	15780.77	277.741552
