years	months	days	hours	minutes	seconds	Q	u_Q
2009	8	20	12	48	0	18692.57	1179.501167
2009	8	20	12	50	0	18699.92	1179.964952
2009	8	20	12	52	0	18706.42	1180.375102
2009	8	20	12	54	0	18712.35	1180.749285
2009	8	20	12	56	0	18717.97	1181.103907
2009	8	20	12	58	0	18722.8	1181.40868
2009	8	20	13	0	0	18726.93	1181.669283
2009	8	20	13	2	0	18730.79	1181.912849
2009	8	20	13	4	0	18734.1	1182.12171
2009	8	20	13	6	0	18736.68	1182.284508
2009	8	20	13	8	0	18738.89	1182.423959
2009	8	20	13	10	0	18740.9	1182.55079
2009	8	20	13	12	0	18742.28	1182.637868
2009	8	20	13	14	0	18743.21	1182.696551
2009	8	20	13	16	0	18744.15	1182.755865
2009	8	20	13	18	0	18744.97	1182.807607
2009	8	20	13	20	0	18745.46	1182.838526
2009	8	20	13	22	0	18745.87	1182.864397
2009	8	20	13	24	0	18632.09	1175.684879
2009	8	20	13	26	0	18637.1	1176.00101
2009	8	20	13	28	0	18642.55	1176.344905
2009	8	20	13	30	0	18648.54	1176.722874
2009	8	20	13	32	0	18654.29	1177.085699
2009	8	20	13	34	0	18659.54	1177.416974
2009	8	20	13	36	0	18429.05	1162.873055
2009	8	20	13	38	0	18426.67	1162.722877
2009	8	20	13	40	0	18796.97	1186.088807
2009	8	20	13	42	0	18726.29	1181.628899
2009	8	20	13	44	0	18725.51	1181.579681
2009	8	20	13	46	0	18725.45	1181.575895
2009	8	20	13	48	0	18725.82	1181.599242
2009	8	20	13	50	0	18726	1181.6106
2009	8	20	13	52	0	18725.48	1181.577788
2009	8	20	13	54	0	18640.49	1176.214919
2009	8	20	13	56	0	18630.85	1175.606635
2009	8	20	13	58	0	18620.23	1174.936513
2009	8	20	14	0	0	18608.87	1174.219697
2009	8	20	14	2	0	18596.8	1173.45808
2009	8	20	14	4	0	18583.96	1172.647876
2009	8	20	14	6	0	18570.41	1171.792871
2009	8	20	14	8	0	18556.1	1170.88991
2009	8	20	14	10	0	18541.12	1169.944672
2009	8	20	14	12	0	18525.64	1168.967884
2009	8	20	14	14	0	18509.72	1167.963332
2009	8	20	14	16	0	18493.43	1166.935433
2009	8	20	14	18	0	18476.84	1165.888604
2009	8	20	14	20	0	18459.95	1164.822845
2009	8	20	14	22	0	18442.79	1163.740049
2009	8	20	14	24	0	18425.45	1162.645895
2009	8	20	14	26	0	18408.01	1161.545431
2009	8	20	14	28	0	18390.49	1160.439919
2009	8	20	14	30	0	18372.96	1159.333776
2009	8	20	14	32	0	18355.5	1158.23205
2009	8	20	14	34	0	18338.09	1157.133479
2009	8	20	14	36	0	18320.66	1156.033646
2009	8	20	14	38	0	18303.38	1154.943278
2009	8	20	14	40	0	18286.28	1153.864268
2009	8	20	14	42	0	18269.46	1152.802926
2009	8	20	14	44	0	18252.94	1151.760514
2009	8	20	14	46	0	18236.5	1150.72315
2009	8	20	14	48	0	18227.64	1150.164084
2009	8	20	14	50	0	18211.03	1149.115993
2009	8	20	14	52	0	18194.64	1148.081784
2009	8	20	14	54	0	18178.3	1147.05073
2009	8	20	14	56	0	18161.91	1146.016521
2009	8	20	14	58	0	18145.62	1144.988622
2009	8	20	15	0	0	18128.88	1143.932328
2009	8	20	15	2	0	18111.69	1142.847639
2009	8	20	15	4	0	18094.2	1141.74402
2009	8	20	15	6	0	18075.59	1140.569729
2009	8	20	15	8	0	18054.47	1139.237057
2009	8	20	15	10	0	18030.36	1137.715716
2009	8	20	15	12	0	18003.06	1135.993086
2009	8	20	15	14	0	17972.13	1134.041403
2009	8	20	15	16	0	17938.89	1131.943959
2009	8	20	15	18	0	17905.84	1129.858504
2009	8	20	15	20	0	17877.03	1128.040593
2009	8	20	15	22	0	17856.09	1126.719279
2009	8	20	15	24	0	17846.57	1126.118567
2009	8	20	15	26	0	17849.69	1126.315439
2009	8	20	15	28	0	17863.62	1127.194422
2009	8	20	15	30	0	17886.6	1128.64446
2009	8	20	15	32	0	17915.89	1130.492659
2009	8	20	15	34	0	17949.08	1132.586948
2009	8	20	15	36	0	17992.08	1135.300248
2009	8	20	15	38	0	18028.19	1137.578789
2009	8	20	15	40	0	18063.69	1139.818839
2009	8	20	15	42	0	18098.18	1141.995158
2009	8	20	15	44	0	18133.27	1144.209337
2009	8	20	15	46	0	18202.95	1148.606145
2009	8	20	15	48	0	18238.69	1150.861339
2009	8	20	15	50	0	18275.13	1153.160703
2009	8	20	15	52	0	18312.75	1155.534525
2009	8	20	15	54	0	18349.56	1157.857236
2009	8	20	15	56	0	18381.79	1159.890949
2009	8	20	15	58	0	18404.3	1161.31133
2009	8	20	16	0	0	18412.24	1161.812344
2009	8	20	16	2	0	18400.52	1161.072812
2009	8	20	16	4	0	18368.06	1159.024586
2009	8	20	16	6	0	18315.72	1155.721932
2009	8	20	16	8	0	18245.51	1151.291681
2009	8	20	16	10	0	18157.4	1145.73194
2009	8	20	16	12	0	18054.7	1139.25157
2009	8	20	16	14	0	17937.38	1131.848678
2009	8	20	16	16	0	17807.35	1123.643785
2009	8	20	16	18	0	17666.86	1114.778866
2009	8	20	16	20	0	17517.31	1105.342261
2009	8	20	16	22	0	17348.79	1094.708649
2009	8	20	16	24	0	17183.06	1084.251086
2009	8	20	16	26	0	17012.48	1073.487488
2009	8	20	16	28	0	16837.21	1062.427951
2009	8	20	16	30	0	16625.86	1049.091766
2009	8	20	16	32	0	16445.96	1037.740076
2009	8	20	16	34	0	16264.66	1026.300046
2009	8	20	16	36	0	16082.37	1014.797547
2009	8	20	16	38	0	15897.44	1003.128464
2009	8	20	16	40	0	15880.45	1002.056395
2009	8	20	16	42	0	15663.62	988.374422
2009	8	20	16	44	0	15437.68	974.117608
2009	8	20	16	46	0	15206.96	959.559176
2009	8	20	16	48	0	14988.1	945.74911
2009	8	20	16	50	0	14735.72	929.823932
2009	8	20	16	52	0	14473.54	913.280374
2009	8	20	16	54	0	14201.68	896.126008
2009	8	20	16	56	0	13920.11	878.358941
2009	8	20	16	58	0	13628.03	859.928693
2009	8	20	17	0	0	13321.06	840.558886
2009	8	20	17	2	0	12688.57	800.648767
2009	8	20	17	4	0	11822.77	746.016787
2009	8	20	17	6	0	11495.57	725.370467
2009	8	20	17	8	0	11170.99	704.889469
2009	8	20	17	10	0	10853.25	684.840075
2009	8	20	17	12	0	10442.76	658.938156
2009	8	20	17	14	0	10129.89	639.196059
2009	8	20	17	16	0	9370.89	591.303159
2009	8	20	17	18	0	9050.76	571.102956
2009	8	20	17	20	0	8740.18	551.505358
2009	8	20	17	22	0	8413.16	530.870396
2009	8	20	17	24	0	8096.09	510.863279
2009	8	20	17	26	0	7696.64	485.657984
2009	8	20	17	28	0	7302.1	460.76251
2009	8	20	17	30	0	7018.31	442.855361
2009	8	20	17	32	0	6729.13	424.608103
2009	8	20	17	34	0	6457.66	407.478346
2009	8	20	17	36	0	6178.13	389.840003
2009	8	20	17	38	0	5897.9	372.15749
2009	8	20	17	40	0	5627.49	355.094619
2009	8	20	17	42	0	5306.34	334.830054
2009	8	20	17	44	0	5057.12	319.104272
2009	8	20	17	46	0	4792.02	302.376462
2009	8	20	17	48	0	4547.5	286.94725
2009	8	20	17	50	0	4265.2	269.13412
2009	8	20	17	52	0	4024.63	253.954153
2009	8	20	17	54	0	3761.62	237.358222
2009	8	20	17	56	0	3518.95	222.045745
2009	8	20	17	58	0	3276.6	206.75346
2009	8	20	18	0	0	3012.62	190.096322
2009	8	20	18	2	0	2708.38	170.898778
