years	months	days	hours	minutes	seconds	Q	u_Q
2009	6	26	13	6	0	20354.01	917.965851
2009	6	26	13	8	0	20418.05	920.854055
2009	6	26	13	10	0	20476.98	923.511798
2009	6	26	13	12	0	20531.06	925.950806
2009	6	26	13	14	0	20580.58	928.184158
2009	6	26	13	16	0	20625.8	930.22358
2009	6	26	13	18	0	20666.98	932.080798
2009	6	26	13	20	0	20704.37	933.767087
2009	6	26	13	22	0	20738.2	935.29282
2009	6	26	13	24	0	20768.59	936.663409
2009	6	26	13	26	0	20798.19	937.998369
2009	6	26	13	28	0	20822.89	939.112339
2009	6	26	13	30	0	20845.33	940.124383
2009	6	26	13	32	0	20865.62	941.039462
2009	6	26	13	34	0	20884.03	941.869753
2009	6	26	13	36	0	20900.97	942.633747
2009	6	26	13	38	0	20916.83	943.349033
2009	6	26	13	40	0	20931.86	944.026886
2009	6	26	13	42	0	20946.17	944.672267
2009	6	26	13	44	0	20959.82	945.287882
2009	6	26	13	46	0	20972.81	945.873731
2009	6	26	13	48	0	20985.06	946.426206
2009	6	26	13	50	0	20996.38	946.936738
2009	6	26	13	52	0	21006.58	947.396758
2009	6	26	13	54	0	21015.49	947.798599
2009	6	26	13	56	0	21022.96	948.135496
2009	6	26	13	58	0	21028.86	948.401586
2009	6	26	14	0	0	21033.1	948.59281
2009	6	26	14	2	0	21013.7	947.71787
2009	6	26	14	4	0	21014.29	947.744479
2009	6	26	14	6	0	21013.47	947.707497
2009	6	26	14	8	0	21011.32	947.610532
2009	6	26	14	10	0	21008	947.4608
2009	6	26	14	12	0	21003.64	947.264164
2009	6	26	14	14	0	20998.42	947.028742
2009	6	26	14	16	0	20992.57	946.764907
2009	6	26	14	18	0	20986.05	946.470855
2009	6	26	14	20	0	20978.99	946.152449
2009	6	26	14	22	0	20971.47	945.813297
2009	6	26	14	24	0	20963.54	945.455654
2009	6	26	14	26	0	20955.33	945.085383
2009	6	26	14	28	0	20946.95	944.707445
2009	6	26	14	30	0	20938.5	944.32635
2009	6	26	14	32	0	20930.1	943.94751
2009	6	26	14	34	0	20921.85	943.575435
2009	6	26	14	36	0	20913.83	943.213733
2009	6	26	14	38	0	20906.14	942.866914
2009	6	26	14	40	0	20898.83	942.537233
2009	6	26	14	42	0	20891.97	942.227847
2009	6	26	14	44	0	20885.64	941.942364
2009	6	26	14	46	0	20879.86	941.681686
2009	6	26	14	48	0	20874.68	941.448068
2009	6	26	14	50	0	20870.06	941.239706
2009	6	26	14	52	0	20865.31	941.025481
2009	6	26	14	54	0	20859.7	940.77247
2009	6	26	14	56	0	20853.17	940.477967
2009	6	26	14	58	0	20845.88	940.149188
2009	6	26	15	0	0	20838.05	939.796055
2009	6	26	15	2	0	20829.82	939.424882
