years	months	days	hours	minutes	seconds	Q	u_Q
2009	8	21	9	4	0	32668.72	705.644352
2009	8	21	9	6	0	33403.1	721.50696
2009	8	21	9	8	0	34116.05	736.90668
2009	8	21	9	10	0	34805.28	751.794048
2009	8	21	9	12	0	35468.97	766.129752
2009	8	21	9	14	0	36105.54	779.879664
2009	8	21	9	16	0	36713.87	793.019592
2009	8	21	9	18	0	37293.13	805.531608
2009	8	21	9	20	0	37842.65	817.40124
2009	8	21	9	22	0	38362.29	828.625464
2009	8	21	9	24	0	38852.02	839.203632
2009	8	21	9	26	0	39312.05	849.14028
2009	8	21	9	28	0	39742.86	858.445776
2009	8	21	9	30	0	40145.29	867.138264
2009	8	21	9	32	0	40520.39	875.240424
2009	8	21	9	34	0	40869.25	882.7758
2009	8	21	9	36	0	41192.88	889.766208
2009	8	21	9	38	0	41492.07	896.228712
2009	8	21	9	40	0	41767.6	902.18016
2009	8	21	9	42	0	42020.3	907.63848
2009	8	21	9	44	0	42250.92	912.619872
2009	8	21	9	46	0	42460.58	917.148528
2009	8	21	9	48	0	42650.27	921.245832
2009	8	21	9	50	0	42820.87	924.930792
2009	8	21	9	52	0	42973.61	928.229976
2009	8	21	9	54	0	43109.77	931.171032
2009	8	21	9	56	0	43230.25	933.7734
2009	8	21	9	58	0	43336.17	936.061272
2009	8	21	10	0	0	43428.26	938.050416
2009	8	21	10	2	0	43507.33	939.758328
2009	8	21	10	4	0	43574.01	941.198616
2009	8	21	10	6	0	43629.03	942.387048
2009	8	21	10	8	0	43673.24	943.341984
2009	8	21	10	10	0	43707.57	944.083512
2009	8	21	10	12	0	43732.75	944.6274
2009	8	21	10	14	0	43749.33	944.985528
2009	8	21	10	16	0	43758.01	945.173016
2009	8	21	10	18	0	43759.44	945.203904
2009	8	21	10	20	0	43754.27	945.092232
2009	8	21	10	22	0	43743.28	944.854848
2009	8	21	10	24	0	43727.39	944.511624
2009	8	21	10	26	0	43707.58	944.083728
2009	8	21	10	28	0	43684.88	943.593408
2009	8	21	10	30	0	43660.19	943.060104
2009	8	21	10	32	0	43634.27	942.500232
2009	8	21	10	34	0	43607.76	941.927616
2009	8	21	10	36	0	43581.14	941.352624
2009	8	21	10	38	0	43554.76	940.782816
2009	8	21	10	40	0	43529	940.2264
2009	8	21	10	42	0	43504.19	939.690504
2009	8	21	10	44	0	43480.53	939.179448
2009	8	21	10	46	0	43458.04	938.693664
2009	8	21	10	48	0	43436.59	938.230344
2009	8	21	10	50	0	43416	937.7856
2009	8	21	10	52	0	43396.03	937.354248
2009	8	21	10	54	0	43400.9	937.45944
2009	8	21	10	56	0	43381.07	937.031112
2009	8	21	10	58	0	43361.22	936.602352
2009	8	21	11	0	0	43341.01	936.165816
2009	8	21	11	2	0	43320.14	935.715024
2009	8	21	11	4	0	43298.25	935.2422
2009	8	21	11	6	0	43275.14	934.743024
2009	8	21	11	8	0	43250.81	934.217496
2009	8	21	11	10	0	43225.39	933.668424
2009	8	21	11	12	0	43198.98	933.097968
2009	8	21	11	14	0	43171.77	932.510232
2009	8	21	11	16	0	43144.01	931.910616
2009	8	21	11	18	0	43115.83	931.301928
2009	8	21	11	20	0	43087.33	930.686328
2009	8	21	11	22	0	43058.65	930.06684
2009	8	21	11	24	0	43029.95	929.44692
2009	8	21	11	26	0	43001.31	928.828296
2009	8	21	11	28	0	42972.77	928.211832
2009	8	21	11	30	0	42944.17	927.594072
2009	8	21	11	32	0	42915.28	926.970048
2009	8	21	11	34	0	42885.85	926.33436
2009	8	21	11	36	0	42855.61	925.681176
2009	8	21	11	38	0	42824.38	925.006608
2009	8	21	11	40	0	42792.18	924.311088
2009	8	21	11	42	0	42759.16	923.597856
2009	8	21	11	44	0	42725.42	922.869072
2009	8	21	11	46	0	42690.93	922.124088
2009	8	21	11	48	0	42655.71	921.363336
2009	8	21	11	50	0	42619.99	920.591784
2009	8	21	11	52	0	42583.92	919.812672
2009	8	21	11	54	0	42547.62	919.028592
2009	8	21	11	56	0	42510.91	918.235656
2009	8	21	11	58	0	42473.52	917.428032
2009	8	21	12	0	0	42435.24	916.601184
2009	8	21	12	2	0	42395.74	915.747984
2009	8	21	12	4	0	42386.95	915.55812
2009	8	21	12	6	0	42341.76	914.582016
2009	8	21	12	8	0	42294.13	913.553208
2009	8	21	12	10	0	42243.59	912.461544
2009	8	21	12	12	0	42189.41	911.291256
2009	8	21	12	14	0	42131.49	910.040184
2009	8	21	12	16	0	42070.1	908.71416
2009	8	21	12	18	0	42005.44	907.317504
2009	8	21	12	20	0	41938	905.8608
2009	8	21	12	22	0	41868.31	904.355496
2009	8	21	12	24	0	41796.89	902.812824
2009	8	21	12	26	0	41724.19	901.242504
2009	8	21	12	28	0	41658.74	899.828784
2009	8	21	12	30	0	41584.74	898.230384
2009	8	21	12	32	0	41511.21	896.642136
2009	8	21	12	34	0	41438.69	895.075704
2009	8	21	12	36	0	41367.63	893.540808
2009	8	21	12	38	0	41298.5	892.0476
